Programme Type,Academic Year,Academic Year (copy),Age Group,Course Level,Gender (group),ISCED Broad Field of Study,Mode,New Entrant?,Gender,Asterisk
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Information and Communication Technologies (ICTs),Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Natural sciences, mathematics and statistics",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Services,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Social sciences, journalism and information",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Social sciences, journalism and information",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Social sciences, journalism and information",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Social sciences, journalism and information",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Social sciences, journalism and information",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Social sciences, journalism and information",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Arts and humanities,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Business, administration and law",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Education,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,"Engineering, manufacturing and construction",Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Female,Health and welfare,Part-time,No,Female,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Health and welfare,Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,Information and Communication Technologies (ICTs),Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Natural sciences, mathematics and statistics",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Social sciences, journalism and information",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Social sciences, journalism and information",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Social sciences, journalism and information",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Social sciences, journalism and information",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Social sciences, journalism and information",Part-time,No,Male,*
PhD,2020/2021,2020/2021,24+,Postgraduate,Male,"Social sciences, journalism and information",Part-time,No,Male,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Social sciences, journalism and information",Full-time,No,Female,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Business, administration and law",Full-time,No,Female,*
PhD,2019/2020,2019/2020,23 and under,Postgraduate,Female,"Natural sciences, mathematics and statistics",Full-time,No,Female,*
PhD,2020/2021,2020/2021,23 and under,Postgraduate,Female,Arts and humanities,Full-time,No,Female,*
PhD,2020/2021,2020/2021,23 and under,Postgraduate,Female,"Engineering, manufacturing and construction",Full-time,No,Female,*
PhD,2020/2021,2020/2021,23 and under,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,23 and under,Postgraduate,Female,Health and welfare,Full-time,No,Female,*
PhD,2020/2021,2020/2021,23 and under,Postgraduate,Female,Information and Communication Technologies (ICTs),Full-time,No,Female,*
